Id,Text,Class
0,"Обустройство тротуаров, мостовых (в том числе тротуарной плиткой).",H
1693,Альменс - это муниципалитет в районе Хинтеррайн в швейцарском кантоне Граубе 1 \ / 4 нден.,H
3397,Я видел ключ в номере.,M
5113,В городе наблюдается повышенная концентрация оксида азота. Это наблюдается в городе.,M
6791,Сингапур незамедлительно призвал к международному признанию его суверенитета.,M
8423,Какой успех представляет Мещанское устройство?,M
10065,"Кто-то из-за скз анонимно прокомментировал, написав, что Йени все равно выглядит красивее я",M
11745,Он информирует Nation с помощью сообщения.,M
13391,"ровано В настоящее время школа обеспечивает стабильное и устойчивое функционирование учебного процесса, а также создает благоприятные условия для дальнейшего его развития.",M
15087,"Король Марк, в действительности, стал региональным господином, правившим на относительно маленькой территории в западной Македонии.",M
16767,Том сидел тихо полчаса.,M
18490,", а затем в 2006 году они совершили несколько краж и аферы. По данным правоохранительных властей, они промышляли фальшивыми сертификатами на сумму от 100 миллионов долларов.",M
20146,"В воскресенье в столице будет жарко, местами до +12°.",M
21814,У Дм<итрия> грипп.,H
23448,Я пообещал ему сохранить это в секрете.,H
25144,"А тогда, будучи студентом МВТУ, я жил в общежитии в Лефортово.",H
26791,"Известно также, что на самом деле в этом случае речь шла о неких «прогрессивных» реформах – так называемом процессе модернизации.
Но и этот вариант был отвергнут как несостоятельный ввиду очевидного несоответствия его сути тем задачам реформы образования (какой именно?), которые ставились перед правительством во времена правления Николая I… А между прочим! Это же было время высочайшего расцвета отечественной педагогики!… И вот теперь нам предлагают отказаться от этих реформ?… Нет уж лучше мы откажемся сами!»[3 - Введение ЕГЭ: итоги эксперимента // Российская академия народного хозяйства при Правительстве Российской Федерации; http://www-",M
28521,Никогда не говори неправду!,H
30168,"Январь AA I <половина> —319.    
«Пищепромреклама» — 99.10.",H
31834,"Его характеризуют как невежественного, слабоумного, акцентируют его нелюбовь к России.",H
33546,Сколько цветов вы купили?,M
35250,Найди слово в словаре.,M
36914,Летом действует один причал.,H
38556,"Получили противогазы «БС», и лишь тогда стало понятно, что все это готовится для военных действий.",H
40234,"В России количество новых выявленных случаев коронавируса за сутки уже неделю держится на уровне до 8 тыс., свидетельствуют данные оперштаба. Тем временем в Москве начался новый этап снятия ограничений: в столице открылись фитнес-клубы, кафе и рестораны.",H
41898,"Теплая вода течет по желобам на внутренней стороне реки.  ==<s]И еще я мечтаЮ съесть, а она чего-нибудь долго не идет",M
43526,"Я размышляю о том, как распределять средства.",M
45228,"Я приехал в Эквадор, когда мне было восемь лет.",M
46940,"Но оскорбленная Зоечка ему с сердцем: -- Сперва заслужите, нарвите купавок.",H
48553,Он был вынужден так поступить.,H
50237,"разработка комплексных мер для развития сельских территорий, включающих модернизацию системы теплоснабжения, водоснабжение канализации ) поселений ленинского сельсовета Ульяновской области.",M
51862,"АБУ-ДАБИ.
Внимание! В связи с изменением законодательства РФ и внесением соответствующих изменений в ПДД, а также принятием нормативных актов ГИБДД России на территории республики Башкортостан (далее - регионы) при использовании транспортного средства необходимо соблюдать следующие правила:1.. На автомобильном транспорте допускается перевозить людей только до тех пор пока не будет превышен допустимый вес человека или багажа для каждого типа транспортных средств;2. При проезде через железнодорожные станции следует предъявлять билет установленной формы о прохождении контроля по форме 086/у ""Табель учета пассажиров"";3, за исключением случаев проезда детей младше 7 лет включительно согласно пп 1 ст 5 Закона РБ от 29 декабря 2006 г.; 4 ; 6 : 3 )).5);7 ), 9), 10 ).11;; Для автобусов разрешён беспересадочный проезд между двумя станциями независимо друг друга без высадки пассажира со стороны одного из них;.12.);13):14))(см.: Закон Республики Башкирия № 218 «О безопасности дорожного движения»//Собрание законов РБ., 2007 год.).15)))104.), 129.) 138а — бб – дд = 146с + 16лмнч=16000 лвт*1000 мкв·км²×10000 км–200% квотной доли площади автотрасса+20%, 20 %—для грузовых автомобилей 15%.17)- 18з − 19и (-19к−30г­р.-32гг†42 гг ‡ 43 годы 40 годов 50х 60е 70ые 80 90 е 000000 000 ед.– 200%).",M
53571,Status of these persons is governed «Законом о иностранных» (Закон о иностранных) 1993 года.,M
55174,Этот яблоко очень красный.,M
56797,"Ельцин, находящийся в Свердловске, объявил, что Попцов снят со своего поста и на его место назначен Сагалаев.",H
58436,Мэннинг играл в американский футбол в университете Миссисипи после окончания средней школы в школе Исидора Ньюмана в Новом Орлеане.,H
60096,"После окончания войн в Европе против наполеоновской Франции правительство Александра I смогло активизировать свои действия на Кавказе, сосредоточив там значительные военные ресурсы. В 1816 году командиром Отдельного Грузинского корпуса и управляющим гражданской частью в Грузии, Астраханской и Кавказской губерниях был назначен генерал Алексей Ермолов. Он предложил план покорения горного Кавказа, который предусматривал отказ от тактики карательных экспедиций в пользу регулярной осады горных районов путём прорубки широких просек в лесах, прокладки дорог и создания оборонительных линий из форпостов и крепостей. Враждебно настроенные аулы должны были предаваться разрушению, сжигаться дотла, а население подлежало переселению на равнину под надзор русских войск.",H
61761,В данной локации уже разворачивали пункт вакцинации – он работал минувшим летом.,H
63349,недостаточный уровень внедрения в деятельность органов исполнительной власти и органов местного самоуправления информационно-коммуникационных технологий.,H
65017,У каждого из нас своя осень.,H
66682,к) публичное акционерное общество «Северное речное пароходство» («Нижняя Тойма - Верхняя Тойма»);,H
68331,"Некоторые латинские алфавиты оказали влияние на написание других языков, использующих латинскую графику.",M
69993,"По данным переписи населения 2000 года в округе проживает 12 367 жителей в составе 4430 домашних хозяйств и 3313 семей. Плотность населения составляет 12,00 человек на км2. На территории округа насчитывается 5 142 жилых строений, при плотности застройки около 5,00-ти строений на км2. Расовый состав населения: белые — 94,44 %, афроамериканцы — 3,70 %, коренные американцы (индейцы) — 0,38 %, азиаты — 0,11 %, гавайцы — 0,02 %, представители других рас — 0,19 %, представители двух или более рас — 1,15 %. Испаноязычные составляли 1,12 % населения независимо от расы.",H
71617,"не буду ничего говорить про Казань, чтоб не сказать лишнего на эмоциях",H
73349,"Рилузол не излечивает повреждение, уже нанесенное двигательным нейронам, и пациенты, принимающие препарат, должны находиться под наблюдением на предмет повреждения печени и других побочных эффектов.",H
75020,"Кроме того, держатели карты смогут воспользоваться скидками от платежной системы Visa на услуги по всему миру, включая рестораны, такси, бронирование отелей и многое другое.",H
76655,"Специальная авиация предназначена для нанесения ударов по наземным целям, а также в ночное время суток. Она может использоваться как самостоятельно так и на базе транспортных средств (автомобилей).
Для того что бы стать пилотом спецтехники необходимо пройти обучение или получить соответствующее образование с предоставлением специального допуска к действиям авиации при проведении боевых действий во внутренних конфликтах. Обучение проходит под контролем Министерства Обороны РФ после сдачи теоретического экзамена, который проводится летной школой ВВС России(на земле) либо непосредственно перед началом выполнения задания.(при наличии соответствующего образования ).",M
78297,"Слава Богу, живы Рязанов, Бакланов, недавно, лет десять назад, здесь появилась Виктория Токарева.",H
79963,"В 1942—1945 годах работал под руководством своего бывшего преподавателя Л. В. Руднева в мастерской Института массовых сооружений Академии архитектуры СССР в Москве. Под руководством Руднева принял участие в реализации нескольких крупных проектов в Москве. В 1936—1941 годах В. В. Лебедев участвовал в ряде архитектурных конкурсов. Во время Великой Отечественной войны участвовал в Ленинграде в работе по укреплению системы ПВО здания Государственного Эрмитажа и по обмеру здания бывшего Инженерного замка. В 1959—1985 годах возглавлял Мастерскую № 12 Моспроекта. С 1953 года преподавал в МАРХИ. Действительный член РАХ (1979), почётный член РААСН, почётный член Международной академии архитектуры.",H
81618,* Лекции по методу Wyckoff.,M
83291,"В интервью Ксении Собчак на телеканале «Дождь» журналист Алексей Невзоров отметил, что легко совмещает свою критическое отношение к Русской православной церкви и поддержку Путина, а также агитировал за Путина. Однако Невзоров остался доверенным лицом.",M
84956,давай поиграем в игру: представь на улице зима -30 я железный столб а ты глупый восьмилетний мальчик,H
86587,"И под одной из этих крышей мы узнаем свое отверженность, свою бессилие, отчаяние и надежду",M
88294,"Пятница. Вечер
Юрий Михайлович Кушнерков 
        (родился в Москве) -  прозаик, поэт-прозаист; лауреат премии журнала &quot;&nbsp;, член Союза писателей России и Российской книжной палаты&raquo;. Лауреат премий им Нины Берберовой, Бориса Заходера. Член Российского ПЕН -- союза журналистов с 1997 года: за книгу стихов о любви к родине на сайте http://www1startupsbookshopinglisty/ru_page2?ref=107234#comments   В настоящее время работает над новой книгой рассказов для детей :http         www3dnewsrussia@mailtrouble                 https//contentinfo016254882697852088592480779838681446992903616121728155827133749695644793976357534456655339047228618608950703096004095116319065797432120108543210542000654112049985722000000643119874160495100671998715051201810973201683201494201553201710103130500600700800100040011520003000911211084180200820072010201120132012 2013 2012 2014 2015 2016 2018 2017 2020 2019 20 25 27 29 28 30 34 35 39 40 42 45 47 48 49 50 52 55 66 70 80 90 100 110 120 140 160 180 190 192 193 194 195 200 201 210 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 22 23 24 26 31 32 33 36 37 38 41 43 46 51 57 64 71 72 78 83 84 87 88 89 92 99 98 97 101 103 104 105 107 108 109 111 114 115 117 118 112 113 127 128 129 130 132 135 145 150 155 159 170 175 196 197 198 199 220 21 300 230 240 270 260 280 320 360 СТИХИ И ПОЭЗИИ ЮРИЯ КУШНЁРКОВА ЖУТКИЕ О ЛЮБВИ...(стихи), рассказы.........ВСЕГО ЛИСТЬЕВ ТЫЩА..............................Стихов много не напишешь..но я хочу сказать вот что...люблю тебя как никто другой! ты самая лучшая из всех моих подруг! Я люблю твои глаза!!!Ты такая же красивая когда улыбаешься!!!!!!Люблю твой нежный нос!!!Твой голос такой родной....ты так похожа..как две капли воды ))) Люблю твое нежное тело ) Ты моя маленькая звездочка моей души ))))) Люби меня больше чем кто либо еще во всем Мире))))))ЛЮБИ МЕНЬШЕ ЧЕМ ВСЕМ НА СВЕТЕ!!!!!!!! УДАЧИ ТЕБЕ БОЛЬШАКАЙ МОЛОДЕЦ!)ТЫ ТАЛАНТАЛЕЧНАЯ ДРУГАААааа,,я просто влюблена тебе очень сильно но мне нужно быть сильной чтобы это доказать((с днем рожденья поздравляююююлянаидаиринаконечноулыбнисьтебе сегодня будет счастьеооооченьбольшоееее большоеспасибоза подарокот мамы от",M
89977,"Ваша схема, как дом, построенный на песке.",M
91705,О цементе обширная литература.,H
93427,"По сути, в Googlе не было ни одной новой функции или возможности для управления. 

В этом плане Gmail был лучше и удобней Google Maps - он позволял управлять маршрутом по расписанию без необходимости ходить на работу/дом (хотя у меня были некоторые трудности). В то же время с помощью этого сервиса можно легко получить информацию об интересующих вас объектах: где находится тот-то дом; какой район города вам интересен... И все это очень просто!  Я уже давно хотел сделать такой сервис под Android, но пока никак руки до него еще так далеко :( Но я надеюсь что когда нибудь его сделаю :) Так как сам",M
95079,Власти американского штата Калифорния ведут активные консультации с участием адвокатов Ассанжа.,M
96729,"Не нужно есть, и не нужно есть.",M
98337,В соответствии с данными копрологического исследования проводят коррекцию дозы панкреатических ферментов.,M
99974,Ты научишь меня играть в шахматы?,H
101651,На первом этапе освоения языка обеспечивается возможность межличностных контактов и переход к чтению прессы и литературы.,H
103290,Дима Билан — «Молния»,H
105013,"Действие романа начинается в один из майских дней, когда два московских литератора — председатель правления МАССОЛИТа Михаил Александрович Берлиоз и поэт Иван Бездомный — во время прогулки на Патриарших прудах встречают незнакомца, похожего на иностранца. Он включается в разговор об Иисусе Христе, рассказывает о своём пребывании на балконе прокуратора Иудеи Понтия Пилата и предрекает, что Берлиозу отрежет голову «русская женщина, комсомолка». Литераторы не знают, что перед ними Воланд — дьявол, прибывший в советскую столицу со своей свитой: Фаготом-Коровьевым, Азазелло, котом Бегемотом и служанкой Геллой.",H
106695,"В XIX веке была построена большая лестница из 686 лестницы, которые ведут от города до храма.",M
108304,Суд может быть на должности суда сроком пресечения.,M
109976,Я хочу что-то сделать в своей жизни.,M
111628,"В 1686 году Буда была отвоёвана у турок войсками Священной Лиги. С осадой Буды в 1686 году связано церковное предание о чудесном явлении статуи Девы Марии. По преданию, во время артиллерийского обстрела рухнула одна из стен в бывшей церкви, обнаружив скрытую за ней в потайном месте статую Пресвятой Богородицы. Появление статуи Девы Марии прямо перед молящимися турками настолько подорвало их дух, что город был сдан в тот же день. В 1686 году церковь передали францисканцам, а позднее — иезуитам. После окончания турецкого ига была предпринята попытка перестроить церковь в барочном стиле, однако результат оказался неудачным. Церковь постепенно приходила в упадок.",H
113307,Многое еще предстоит сделать.,M
114965,"В течение 2012 года выявлен и учтен 36 ребенок, оставшийся без попечения родителей (2011год – 39).",H
116624,В 1978 году стал обладателем премии «Эмми» за технологию композитинга Ultimatte.,H
118299,"оценку эффективности деятельности администрации, включая оценку выполнения программы за истекший период, выявление и устранение причин нарушений в деятельности администрации.",M
119952,"На уроке по истории музыки я устал от шума и напряжения, а также от шума.",M
121619,52-летний Гий Аджен скоро предстанет перед судом.,M
123324,"Нойон в своей земле мог использовать труд араатов, раздавать им на пропитание свой скот.",M
125050,Эта дорога очень длинная.,H
126716,"Выдача свидетельства получателю производится на основании заявления, заполненного и подписанного заявителем.
В заявлении указываются следующие сведения: наименование организации (юридического лица), в которую Вы хотите обратиться за получением сертификата соответствия продукции; адрес места осуществления производства товара или оказания услуги по сертификации данной маркировки - для производителей товаров легкой промышленности ; контактный телефон производителя-импортера. В случае обращения с запросом о выдаче свидетельств об отсутствии у предприятия сертифицированного оборудования – также номер телефона изготовителя этого самого изделия, а так же идентификационный код налогоплательщика поставщика данного",M
128351,"Орган исполнительной власти субъекта Российской Федерации может вносить в установленном им порядке изменения в утвержденные списки молодых семей - претендентов на получение социальных выплат в соответствующем году, в случае если молодые семьи - претенденты на получение социальной выплаты не представили необходимые документы для получения свидетельства о праве на получение социальной выплаты в установленный пунктом 31 настоящих Правил срок, или в течение срока действия свидетельства о праве на получение социальной выплаты отказались от получения социальной выплаты, или по иным причинам не смогли воспользоваться этой социальной выплатой.",H
130003,", и он пригласил своего друга Пола поиграть на фортепианных вечерах, чтобы поддержать его игру.",M
131648,"Первое заседание Тульской городской Думы, избранной в соответствии с «Городовым положением», состоялось 7 декабря 1870 года. Тульская городская Дума осудила Октябрьскую социалистическую революцию в столице. Городская Дума решила: «Ни этой власти, ни власти ленинцев не признавать и продолжать свою работу… до тех пор, пока вооруженная большевистская сила… не прервет этой работы». 5 марта того же года Дума была объявлена распущенной, а их помещения заняты вооруженным караулом. Вся полнота власти в городе перешла к Исполнительному комитету Тульского Совета рабочих и солдатских депутатов.",H
133337,При смертной казни последняя заменена бессрочной каторгой.,M
135027,"Это был священный костер, на который надобно было только посыпать ладану, чтобы он загорелся.",H
136730,"Средневзвешенный курс доллара на 11:30 мск просел до 63,74 рубля.",H
138405,территориальные органы федеральных органов исполнительной власти (по согласованию).,H
140014,уровень среднемесячной начисленной заработной платы одного работника на малых и средних предприятиях района (по отношению к уровню 2012 года) составит 150%.,H
141667,"СПб.: Издательство Пушкинского фонда, 2004 Письма полумёртвого человека (роман в письмах).",H
143314,Как насчёт тебя?,H
144985,"Поезд ушел, на мокрой платформе врезался сундуки, коробки и матрасы.",M
146640,"Жандарм заметил, что он сделал промах, но не разогнал нас, и улыбался, когда вел меня обратно в камеру.",M
148266,". Его исследование вопросов, связанных с разработкой и использованием программного обеспечения и методов программирования, программных средств и методов математического моделирования.",M
149880,Не зачем пожалованья новымъ Дьяковъ по 1690 году?,M
151521,"Анна у нас актриса от рождения, -- продолжал Сергей Сергеевич, разделывая ножом селедку, -- пока, правда, в основном ""шаги за сценой"" и ""кушать подано"".",H
153189,"Рост товарооборота на плановый период скорректирован по отношению к предыдущей версии прогноза исходя из статистических данных по данному показателю, удельному весу товарооборота поселения в товарообороте района - для включения в прогноз социально- экономического развития по поселению взято 70% от статистических данных по обороту розничной торговли по району, виду того, что многие предприятия, в первую очередь федеральные торговые сети («Магнит», «Пятерочка»), осуществляющие деятельность на территории поселения, не предоставляют данные необходимые для разработки прогноза.",H
154888,"Литовский актер театра и кино Александр Сокуров в интервью &laquo;Комсомольской правде&rave;, посвященном 70-летию Великой Победы, рассказал о своем детстве.
 
  \t\tsargradskaya_gazeta  Оригинал записи находится по адресу https://www3rmsochiainfrontyinfo/1297852784964874541825119023260993736462656886859012475353870285830861080551415132276776616085033903900291706443479691147652119867409520965742105322018943109541111807220073150311205310074199621608500006300071%81 %91 %. Это все что можно сказать об Александре Николаевиче! И еще одно фото его детства:httpslonenko@mail... Posted by Дмитрий Сычёв on 18 ноя 2018 г., 07 :51 pм Источник материала - http... Читать дальше "" /...           Серия сообщений ""...ПЕРЕЧЕНЬ ДЕТЕЙ"": Часть 1 — О детях от первого брака (Часть 2 | ПИШИТЕЛЬНЫЕ КАРТЫ).................Ребенок с синдромом Дауна…....и другими заболеваниями – это не только дети!...(с.) А вот ещё одна подборка детских картинок для детей младшего дошкольного возраста:-)))))))А вообще у каждого ребенка свои любимые картины!!!:)     Посмотреть эту коллекцию рисунков очень просто!…Смотрим тут же на сайте «Детские картинки» № 6, там есть несколько работ этого художника Александра Николаевича Редькина из серии ПРОСТОТА ЖИЗНИ!!!!........Внимание к мелочам!!!..Это тоже про детские рисунки….……а если серьёзно то посмотрите здесь наш сайт www.: [more] … В этой рубрике мы постарались",M
156599,Николай II сдался и дал согласие на формирование ответственного министерства. После нескольких часов тяжелейших переговоров с председателем Думы Родзянко и генералом Рузским вопрос был поставлен уже об отречении Николая II.,M
158267,За чаем россияне будут обсуждать острые проблемы профессиональной этики и политики экономии (сайт Cobalt).,M
159924,"Это было неделю назад, а именно – второго апреля.",H
161632,Дубровскому отдали для исправления.,M
163294,"В конкурсе «Золотая маска» в третий раз в этом году победил Алексей Лященко. На этот раз он рассказал о гео-оптимизме и о том, как замысел приходит как бы со стороны.",M
164994,"выравнивание условий налогообложения: отмена «персональных» льгот, льгот для бюджетных учреждений, в отношении налогоплательщиков, для которых были установлены льготы в виде освобождения от налогообложения или пониженных ставок (значения корректирующего коэффициента К2, применяемого для расчета единого налога на вмененный доход) повышение налоговых ставок (значений корректирующего коэффициента К2 и значений факторов - подкоэффициентов), а в отношении организаций, оказывающих социально-значимые услуги, замена льгот целевым финансированием из бюджета и компенсационные выплаты налогоплательщикам - физическим лицам (адресная поддержка);",H
166657,Календарь игр чемпионата мира по футболу-2014.,H
168372,"Инной, перед тем, как Дейнека приметил ее в консерваторском буфете.",H
170036,У меня нет никакого представления.,M
171673,"Подольски сыграл в чемпионате Германии 58 матчей, забил лишь 12 голов.",M
173291,"Я помню это событие так живо, как будто это было только вчера.",M
174936,"Я тоже понемножку «оттачиваю зубы» и огрызаюсь, когда мне кажется, что моего подопечного автора слишком «стригут».",H
176596,"Я думаю, Юми больна.",H
178328,"составление и ведение кассового плана, представляющего собой прогноз кассовых поступлений в местный бюджет Шумерлинского района и кассовых выплат из местного бюджета Шумерлинского района в текущем финансовом году.",H
180007,"Средний доход на одно домашнее хозяйство в округе составил 25 081 долларов США, а средний доход на одну семью в округе — 32 661 долларов. При этом мужчины имели средний доход в 26 744 долларов США в год против 17 830 долларов США среднегодового дохода у женщин. Доход на душу населения в округе составил 14 564 долларов США в год. 13,20 % от всего числа семей в округе и 17,40 % от всей численности населения находилось на момент переписи населения за чертой бедности, при этом 25,00 % из них были моложе 18 лет и 16,70 % — в возрасте 65 лет и старше.",H
181676,"План доходов на 2017 год был составлен в сумме 15 576,3 тыс. руб., и сделан на 101,5%.",M
183318,"Похоже, тебе нравятся фрукты.",H
184993,"В то же время Гарри, коллекционирующий огнестрельное оружие, обнаруживает в аукционном каталоге два ценных старинных ружья и поручает своей правой руке — внушающему страх бандиту Барри «Крестителю» — выкрасть их у владельца до торгов. Для этого Барри нанимает двух недалёких мелких преступников, Гэри и Дина, которым не без неприятностей, но всё же удаётся выполнить «задание». Однако обстоятельства складываются так, что ещё до передачи награбленного Крестителю воришки по глупому незнанию дёшево сбывают нужные ружья богатому, хотя и трусоватому скупщику краденого Нику «Греку», который тоже в силу своей малой образованности не понимает, насколько ценный антиквариат к нему попал.",H
186673,"В 1976 году Джон Мейтчелл работал на Adventures in The Superunknown, где его сфотографировали.",M
188375,Принеси мне его назад.,H
189986,"Инфляция в 2013 году была выше, чем в Москве и России в целом.",M
191626,Башич договорился с представителем загребского «Динамо» Здравко Мамичем о переходе Модрича в клуб.,H
193278,"Братья Даффер заявили, что не собираются возвращаться на Украину. Об этом сообщает ТАСС. «Мы с сожалением вынуждены сообщить о том факте (...), который был подтвержден в ходе нашего расследования», - говорится у них заявлении пресс-службы организации BDSFEP во Франции по итогам заседания Совета Европы и Европарламента после принятия резолюции против героизации нацизма, которую Россия внесла 23 июня этого года». В документе отмечается: члены совета призвали Россию к ответу за события Второй мировой войны путем проведения независимого международного судебного разбирательства преступлений фашистской Германии при поддержке всех цивилизованных стран мира для наказания виновных лиц как можно скорее без какого бы то ни было",M
194891,"Я считаю, что в федеральных списках ""Парнаса"" должны присутствовать петербуржцы.",M
196553,В Москве «За вклад в мировую музыкальную культуру» посмертно отмечен французский шансонье Шарль Азнавур,H
198247,если бы коты писали стихи они бы назвали их котострофы,H
199922,"И вот за дощатой перегородкой, в том же подвале, послышался скрип двери, голоса, звон шпор.",H
201572,Он забил в своем дебютном матче со счетом 2: 0 для Бразилии.,H
203209,"В Лондоне ""Феррари"" врезался в толпу пешеходов на тротуаре.",H
204866,"Милая Клавдия Васильевна, я посылаю Вам свое стихотворение: ""Трава"".",H
206655,"Показатели, характеризующие текущую ситуацию в сфере формирования, учета, изучения, обеспечения физического сохранения фондов библиотек.",M
208313,"В 1950 году дебютировал в высшем дивизионе Чемпионата СССР, провёл 4 матча за московский «Локомотив». С 1951 по 1953 году играл за команду Московского военного округа, представлявшую Калинин и Москву, в турнирах классов «А» и «Б». Провёл за команду 17 матчей и забил 7 голов. С лета 1953 по лето 1954 числился в московском «Торпедо», но не провёл за него ни одного матча. В 1954 году перешёл в ЦДСА. Первый матч за новую команду провёл 1 мая против минского «Спартака», единственный гол забил в матче против «Локомотива» (Харьков). Всего за армейский клуб провёл 4 матча.",H
209974,"Вспомогательный состав состоит из добровольцев из Шервудской баптистской церкви, где братья Кендрик являются младшими пасторами.",H
211652,"последних лет правоохранительные органы, органы государственной власти округа проводили серьезную работу по обеспечению соблюдения правопорядка в Арамильском городском районе.",M
213272,Ты совсем не изменился.,M
214982,"МВФ дважды проверял конкретное использование своих кредитов в России, и оба раза пришел к выводу, что средства были использованы правильно.",M
